Pool,Title,Author,Publication Title,Vote_Reviewer_1,Vote_Reviewer_2,Agreement,Final_Decision,Rationale,Status
Pool 1 (Aravind & Joel),AInsight: Augmenting Expert Decision-Making with On-the-Fly Insights Grounded in Historical Data,"Abolnejadian, Mohammad; Amirshahi, Shakiba; Brehmer, Matthew; Crisan, Anamaria",Proceedings of the 7th ACM Conference on Conversational User Interfaces,Include,Exclude,No,Include,Background Research of LLM responses in medical context - worth exploring the content of the LLM responses,Resolved
Pool 1 (Aravind & Joel),AIoT-Driven Health Behavioral Security: Vision and Challenges,"Nakamura, Yugo",ACM Trans. Comput. Healthcare,Exclude,For Consideration,No,Exclude,Too theoretical and broad,Resolved
Pool 1 (Aravind & Joel),ASIA CCS '24: Proceedings of the 19th ACM Asia Conference on Computer and Communications Security,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),AVI '24: Proceedings of the 2024 International Conference on Advanced Visual Interfaces,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Accommodation and epistemic vigilance: A pragmatic account of why LLMs fail to challenge harmful beliefs,"Cheng, Myra; Hawkins, Robert D; Jurafsky, Dan",,Include,Exclude,No,Include,Has useful frameworks on detecting dark patterns which could be useful to read about (RQ3),Resolved
Pool 1 (Aravind & Joel),Acting flatterers via LLMs sycophancy: Combating clickbait with LLMs opposing-stance reasoning,"Zhang, Chaowei; Luo, Xiansheng; Zhang, Zewei; Zhu, Yi; Qiang, Jipeng; Wang, Longwei",,Exclude,Include,No,Include,Good paper for solving sycophancy (RQ3),Resolved
Pool 1 (Aravind & Joel),Active Maritime Copilot for Ambiguity and Risk-Driven Decisions,"Lu, Zhichen; Stephenson, Matthew; Clement, Benoit; Tapus, Adriana",Companion Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Adjusting Amount of AI Explanation for Visual Tasks,"Maehigashi, Akihiro; Fukuchi, Yosuke; Yamada, Seiji",Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Advancing Human-AI Complementarity: The Impact of User Expertise and Algorithmic Tuning on Joint Decision Making,"Inkpen, Kori; Chappidi, Shreya; Mallari, Keri; Nushi, Besmira; Ramesh, Divya; Michelucci, Pietro; Mandava, Vani; Vepřek, Libuše Hannah; Quinn, Gabrielle",ACM Trans. Comput.-Hum. Interact.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Agency and architectural limits: Why optimization-based systems cannot be norm-responsive,"Sarma, Radha",,Exclude,Exclude,Yes,Exclude,,Agreed
