Pool,Title,Author,Publication Title,Vote_Reviewer_1,Vote_Reviewer_2,Agreement,Final_Decision,Rationale,Status
Pool 1 (Aravind & Joel),Exploring Tangible Algorithmic Imaginaries in Movie Recommendations,"Alvarado, Oscar; Vanden Abeele, Vero; Geerts, David; Gutiérrez, Francisco; Verbert, Katrien","Proceedings of the Fifteenth International Conference on Tangible, Embedded, and Embodied Interaction",Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Exploring Trust and Transparency in Retrieval-Augmented Generation for Domain Experts,"Ravi, Divya; Sindhgatta, Renuka",Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Exploring User Acceptance of a Fintech Chatbot powered by LLMs among Older Adults,"Panda, Swaroop; Komal, Farkhandah Aziz; Law, Effie Lai-Chong; Murad, Syed; Sun, Zhongtian; Summerill, Ben; Konu, Delali; Nguyen, Thuy-Vy",Proceedings of the 38th International BCS Human-Computer Interaction Conference,For Consideration,Exclude,No,Exclude,focus on the wrong part of LLM interactions,Resolved
Pool 1 (Aravind & Joel),Exploring the Evolution of Dark Patterns and Manipulative Design on Instagram,"Seyson, Shamim; Willett, Wesley",Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Exclude,For Consideration,No,Exclude,potentially useful for RQ1 point in intro,Resolved
Pool 1 (Aravind & Joel),Exploring the Human-LLM Synergy in Advancing Theory-driven Qualitative Analysis,"Meng, Han; Yang, Yitian; Fu, Wayne; Lee, Jungup; Li, Yunan; Lee, Yi-Chieh",ACM Trans. Comput.-Hum. Interact.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Exploring the Use of Dark Patterns in University Websites: Ethical Implications and Impacts on Student Decision-Making,"Shannaq, Boumedyen",2025 3rd International Conference on Business Analytics for Technology and Security (ICBATS),Exclude,For Consideration,No,Exclude,potentially useful for RQ1 point,Resolved
Pool 1 (Aravind & Joel),Expressing stigma and inappropriate responses prevents LLMs from safely replacing mental health providers.,"Moore, Jared; Grabb, Declan; Agnew, William; Klyman, Kevin; Chancellor, Stevie; Ong, Desmond C.; Haber, Nick","Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",Include,For Consideration,No,Exclude,potentially useful for RQ1 point - useful background paper,Resolved
Pool 1 (Aravind & Joel),Facilitating Trust in AI-assisted Software Tools,"Johnson, Brittany; Bird, Christian; Ford, Denae; Al Haque, Ebtesam; Forsgren, Nicole; Zimmermann, Thomas",ACM Trans. Softw. Eng. Methodol.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Feedback indices to evaluate LLM responses to rebuttals for multiple choice type questions,"Dunlap, Justin C; Parent, Anne-Simone; Widenhorn, Ralf",,Include,Exclude,No,Exclude,"potentially useful for RQ3 point - paper is method‑oriented, model‑centric, and not focused on conversational manipulation or dark‑pattern HCI outcomes",Resolved
Pool 1 (Aravind & Joel),First impressions of a financial AI assistant: differences between high trust and low trust users,"Schreibelmayr, S.; Moradbakhti, L.; Mara, M.",Frontiers in Artificial Intelligence,Include,Exclude,No,Exclude,Focus on the characteristics of the user as opposed to the LLM behaviour,Resolved
Pool 1 (Aravind & Joel),Flattering to deceive: The impact of sycophantic behavior on user trust in large language model,"Carro, María Victoria",,Include,For Consideration,No,Include,Strong paper,Resolved
Pool 1 (Aravind & Joel),Flattery in motion: Benchmarking and analyzing sycophancy in video-LLMs,"Zhou, Wenrui; Hendy, Mohamed; Yang, Shu; Yang, Qingsong; Guo, Zikun; Luo, Yuyu; Hu, Lijie; Wang, Di",,Exclude,For Consideration,No,Exclude,Not the correct medium ,Resolved
Pool 1 (Aravind & Joel),Fragile thoughts: How Large Language Models handle chain-of-Thought perturbations,"Aravindan, Ashwath Vaithinathan; Kejriwal, Mayank",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),From Awareness to Action: Ambient Display and Customizable Attention Signals for Self-regulated Smartphone Usage,"Zheng, Jian; Seo, Subin; Choe, Eun Kyoung",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),From Bullshit to Cognition: Computing Within the Epistemic Crisis of Large Language Models in Systematic Literature Review,"Erslev, Malthe Stavning; Tretow-Fish, Tobias",Proceedings of the Sixth Decennial Aarhus Conference: Computing X Crisis,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),From C-3PO to HAL: Opening The Discourse About The Dark Side of Multi-Modal Social Agents,"Avanesi, Vino; Rockstroh, Johanna; Mildner, Thomas; Zargham, Nima; Reicherts, Leon; Friehs, Maximilian A.; Kontogiorgos, Dimosthenis; Wenig, Nina; Malaka, Rainer",Proceedings of the 5th International Conference on Conversational User Interfaces,Exclude,Include,No,Exclude,Background paper for RQ3,Resolved
Pool 1 (Aravind & Joel),From ChatGPT to Custom GPTs: Scaffolding Conceptual Learning in Adult Education,"Masalaci, Z.; Shalawadi, S.; Papachristos, E.",,Include,For Consideration,No,Include,Strong emphasis of dark patterns on user trust and satisfaction,Resolved
Pool 1 (Aravind & Joel),From Conversation to Orchestration: HCI Challenges and Opportunities in Interactive Multi-Agentic Systems,"Schömbs, Sarah; Zhang, Yan; Goncalves, Jorge; Johal, Wafa",Proceedings of the 13th International Conference on Human-Agent Interaction,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),From Legal Text to Tech Specs: Generative AI’s Interpretation of Consent in Privacy Law,"Kesari, Aniket; Breaux, Travis; Santos, Sarah; Norton, Tom; Singhal, Anmol",Proceedings of the Twentieth International Conference on Artificial Intelligence and Law,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),From Lived Experience to Insight: Unpacking the Psychological Risks of Using AI Conversational Agents,"Chandra, Mohit; Naik, Suchismita; Ford, Denae; Okoli, Ebele; De Choudhury, Munmun; Ershadi, Mahsa; Ramos, Gonzalo; Hernandez, Javier; Bhattacharjee, Ananya; Warreth, Shahed; Suh, Jina","Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",Include,Exclude,No,Include,Useful for understanding psychological effects of dark patterns - COULD BE STRONG,Resolved
Pool 1 (Aravind & Joel),From Optimizing Engagement to Measuring Value,"Milli, Smitha; Belli, Luca; Hardt, Moritz","Proceedings of the 2021 ACM Conference on Fairness, Accountability, and Transparency",Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),From Pattern Libraries to Practice: Context-Aware Selection of AI Interface Patterns,"Van den Bossche, Thomas; Abdul Khalil, Abasin",Companion Proceedings of the 31st International Conference on Intelligent User Interfaces,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),From Synthetic to Human: The Gap Between AI-Predicted and Actual Pro-Environmental Behavior Change After Chatbot Persuasion,"Doudkin, Alexander; Pataranutaporn, Pat; Maes, Pattie",Proceedings of the 7th ACM Conference on Conversational User Interfaces,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),From delegates to trustees: How optimizing for long-term interests shapes bias and alignment in LLM,"Fulay, Suyash; Zhu, Jocelyn; Bakker, Michiel",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),From exploration to revelation: Detecting dark patterns in mobile apps,"Chen, Jieshan; Wang, Zhen; Sun, Jiamou; Zou, Wenbo; Xing, Zhenchang; Lu, Qinghua; Huang, Qing; Xu, Xiwei",,Exclude,For Consideration,No,Include,Good baseline for RQ1 and RQ3 - Good for background info,Resolved
Pool 1 (Aravind & Joel),From sycophancy to sensemaking: Premise governance for human-AI decision making,"Jain, Raunak; Khurana, Mudita; Stephens, John; Dharmasanam, Srinivas; Venkataraman, Shankar",,Exclude,For Consideration,No,Exclude,Good baseline for RQ3 - Good for background info,Resolved
Pool 1 (Aravind & Joel),From yes-men to truth-tellers: Addressing sycophancy in large Language Models with pinpoint tuning,"Chen, Wei; Huang, Zhen; Xie, Liang; Lin, Binbin; Li, Houqiang; Lu, Le; Tian, Xinmei; Cai, Deng; Zhang, Yonggang; Wang, Wenxiao; Shen, Xu; Ye, Jieping",,Exclude,For Consideration,No,Exclude,Good baseline for RQ3 - Good for background info + technical,Resolved
Pool 1 (Aravind & Joel),Generative AI Agents in Autonomous Machines: A Safety Perspective,"Jabbour, Jason; Janapa Reddi, Vijay",Proceedings of the 43rd IEEE/ACM International Conference on Computer-Aided Design,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Generative AI in managerial decision-making: Redefining boundaries through ambiguity resolution and sycophancy analysis,"Birim, Sule Ozturk; Marozzo, Fabrizio; Kazancoglu, Yigit",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),GermanPartiesQA: Benchmarking commercial large language models and AI Companions for political alignment and sycophancy,"Batzner, Jan; Stocker, Volker; Schmid, Stefan; Kasneci, Gjergji",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Good arguments against the people pleasers: How reasoning mitigates (yet masks) LLM sycophancy,"Feng, Zhaoxin; Chen, Zheng; Ma, Jianfei; Po, Yip Tin; Chersoni, Emmanuele; Li, Bo",,Exclude,Include,No,Include,Good baseline for RQ3 + RQ3,Resolved
Pool 1 (Aravind & Joel),HL-EAI: A Multimodal Framework Enabling Emotional Reciprocity in Human-AI Strategic Decision-Making,"Mozikov, Mikhail; Orekhov, Daniil; Nasonov, Ivan; Baltsat, Konstantin; Pedashenko, Vladislav; Abramov, Dmitrii; Severin, Nikita; Maximov, Yury; Savchenko, Andrey; Makarov, Ilya",Proceedings of the 33rd ACM International Conference on Multimedia,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),HRI '24: Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),HRI '26: Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),HRI Companion '26: Companion Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Harmonizing Ethical Principles: Feedback Generation Approaches in Modeling Human Factors for Assisted Psychomotor Systems,"Portaz, Miguel; Manjarres, Angeles; Santos, Olga C.","Adjunct Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Harnessing Biomedical Literature to Calibrate Clinicians’ Trust in AI Decision Support Systems,"Yang, Qian; Hao, Yuexing; Quan, Kexin; Yang, Stephen; Zhao, Yiran; Kuleshov, Volodymyr; Wang, Fei",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Have the VLMs lost confidence? A study of sycophancy in VLMs,"Li, Shuo; Ji, Tao; Fan, Xiaoran; Lu, Linsheng; Yang, Leyi; Yang, Yuming; Xi, Zhiheng; Zheng, Rui; Wang, Yuran; Zhao, Xiaohui; Gui, Tao; Zhang, Qi; Huang, Xuanjing",,Exclude,For Consideration,No,Exclude,Not the right domain (visual),Resolved
Pool 1 (Aravind & Joel),Hearing is believing? Evaluating and analyzing audio language model sycophancy with SYAUDIO,"Yao, Junchi; Lakshmikanthan, Lokranjan; Zhao, Annie; Zhao, Danielle; Yang, Shu; Ding, Zikang; Wang, Di; Hu, Lijie",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Heart2Mind: Human-Centered Contestable Psychiatric Disorder Prediction System Using Wearable ECG Monitors,"Nguyen, Hung; Rahimi, Alireza; Whitford, Veronica; Fournier, Hélène; Kondratova, Irina; Richard, René; Cao, Hung",ACM Trans. Comput. Healthcare,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Hidden prompts in manuscripts exploit AI-assisted peer review,"Lin, Zhicheng",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Hierarchical Pedagogical Oversight: A multi-agent adversarial framework for reliable AI tutoring,"Sadhu, Saisab; Dhor, Ashim",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),How Do People Evaluate Their Interactions with AI: A Qualitative Study of Emotionally Motivated AI Use and User Evaluation,"Otenen, Ege; Jain, Priya; Stolterman, Erik",Proceedings of the 13th International Conference on Human-Agent Interaction,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),How Misclassification Severity and Timing Influence User Trust in AI Image Classification: User Perceptions of High- and Low-Stakes Contexts,"Freel, Alicia; Pias, Sabid Bin Habib; Šabanović, Selma; Kapadia, Apu","Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),How RLHF Amplifies Sycophancy,"Shapira, Itai; Benade, Gerdus; Procaccia, Ariel D",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),How Trustworthy are Open-Source LLMs? An Assessment under Malicious Demonstrations Shows their Vulnerabilities,"Mo, Lingbo; Wang, Boshi; Chen, Muhao; Sun, Huan",,Exclude,For Consideration,No,Exclude,Too broad on LLMs impact on trust,Resolved
Pool 1 (Aravind & Joel),How does Value Similarity affect Human Reliance in AI-Assisted Ethical Decision Making?,"Narayanan, Saumik; Yu, Guanghui; Ho, Chien-Ju; Yin, Ming","Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),How to Display Vehicle Information to Users of Automated Vehicles When Conducting Non-Driving-Related Activities,"Dandekar, Aditya; Mathis, Lesley-Ann; Berger, Melanie; Pfleging, Bastian",Proc. ACM Hum.-Comput. Interact.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Human Authenticity and Flourishing in an AI-Driven World: Edmund's Journey and the Call for Mindfulness,"Zepf, Sebastian; Colley, Mark",Proceedings of the 27th International Conference on Multimodal Interaction,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Human-Centered Explainable AI (HCXAI): Reloading Explainability in the Era of Large Language Models (LLMs),"Ehsan, Upol; Watkins, Elizabeth A; Wintersberger, Philipp; Manger, Carina; Kim, Sunnie S. Y.; Van Berkel, Niels; Riener, Andreas; Riedl, Mark O",Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),"Human-Interactive Robot Learning: Definition, Challenges, and Recommendations","Baraka, Kim; Idrees, Ifrah; Kessler Faulkner, Taylor; Biyik, Erdem; Booth, Serena; Chetouani, Mohamed; Grollman, Daniel H.; Saran, Akanksha; Senft, Emmanuel; Tulli, Silvia; Vollmer, Anna-Lisa; Andriella, Antonio; Beierling, Helen; Horter, Tiffany; Kober, Jens; Sheidlower, Isaac; Taylor, Matthew E.; van Waveren, Sanne; Xiao, Xuesu",J. Hum.-Robot Interact.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Human-centric Intelligibility for Automated Vehicles: Aligning Explanations with Predictive Models of Passenger State,"Kim, Gwangbin; Kim, SeungJun",Companion of the 2025 ACM International Joint Conference on Pervasive and Ubiquitous Computing,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Human-like social compliance in Large Language Models: Unifying sycophancy and conformity through signal competition dynamics,"Zhang, Long; Chen, Wei-Neng",,Exclude,For Consideration,No,Exclude,Technical rather than empirical,Resolved
Pool 1 (Aravind & Joel),I Refuse if You Let Me: Studying User Behavior with Privacy Banners at Scale,"Jha, Nikhil; Trevisan, Martino; Mellia, Marco; Irarrazaval, Rodrigo; Fernandez, Daniel",2023 7th Network Traffic Measurement and Analysis Conference (TMA),Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),ICSE '23: Proceedings of the 45th International Conference on Software Engineering,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),ICSE '23: Proceedings of the 45th International Conference on Software Engineering: Companion Proceedings,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),ICTIR '25: Proceedings of the 2025 International ACM SIGIR Conference on Innovative Concepts and Theories in Information Retrieval (ICTIR),,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),"Imagining a Future of Designing with AI: Dynamic Grounding, Constructive Negotiation, and Sustainable Motivation","Vaithilingam, Priyan; Arawjo, Ian; Glassman, Elena L.",Proceedings of the 2024 ACM Designing Interactive Systems Conference,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Imago Obscura: An Image Privacy AI Co-pilot to Enable Identification and Mitigation of Risks,"Monteiro, Kyzyl; Wu, Yuchen; Das, Sauvik",Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Impact of Voice Fidelity on Decision Making: A Potential Dark Pattern?,"Dubiel, Mateusz; Sergeeva, Anastasia; Leiva, Luis A.",Proceedings of the 29th International Conference on Intelligent User Interfaces,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Implications of European By-Design Laws on Data-Driven System Design,"Horzyk, Amanda M.",2024 International Joint Conference on Neural Networks (IJCNN),Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Imposing AI: Deceptive design patterns against sustainability,"Beignon, Anaëlle; Thibault, Thomas; Maudet, Nolwenn",,Exclude,For Consideration,No,Exclude,Focus on environmental rather than conversational,Resolved
Pool 1 (Aravind & Joel),Inclusive Recommender Systems: Addressing Needs of Users with ADHD,"Khan, Sushmita; Iqbal, Mehtab; Knijnenburg, Bart; Dixon, Emma",ACM Trans. Recomm. Syst.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Informing Children about Privacy: A Review and Assessment of Age-Appropriate Information Designs in Kids-Oriented F2P Video Games,"Sas, Martin; Denoo, Maarten; Mühlberg, Jan Tobias",Proc. ACM Hum.-Comput. Interact.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 2 (Chris & Greg),Inoculation Prompting: Instructing LLMs to misbehave at train-time improves test-time alignment,"Wichers, Nevan; Ebtekar, Aram; Azarbal, Ariana; Gillioz, Victor; Ye, Christine; Ryd, Emil; Rathi, Neil; Sleight, Henry; Mallen, Alex; Roger, Fabien; Marks, Samuel",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Integrity-based Explanations for Fostering Appropriate Trust in AI Agents,"Mehrotra, Siddharth; Jorge, Carolina Centeio; Jonker, Catholijn M.; Tielman, Myrthe L.",ACM Trans. Interact. Intell. Syst.,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),"Inter-agent trust models: A comparative study of Brief, claim, Proof, Stake, reputation and Constraint in agentic web protocol design-A2A, AP2, ERC-8004, and beyond","Hu, Botao 'amber; Rong, Helena",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Interaction context often increases sycophancy in LLMs,"Jain, Shomik; Park, Charlotte; Viana, Matt; Wilson, Ashia; Calacci, Dana",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Internal reasoning vs. External control: A thermodynamic analysis of sycophancy in large Language Models,"Chang, Edward Y",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Investigating CoT Monitorability in large Reasoning Models,"Yang, Shu; Wu, Junchao; Gong, Xilin; Wu, Xuansheng; Wong, Derek; Liu, Ninghao; Wang, Di",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Investigating the impact of dark patterns on LLM-based web agents,"Ersoy, Devin; Lee, Brandon; Shreekumar, Ananth; Arunasalam, Arjun; Ibrahim, Muhammad; Bianchi, Antonio; Celik, Z Berkay",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Invisible saboteurs: Sycophantic LLMs mislead novices in problem-solving tasks,"Bo, Jessica Y; Kazemitabaar, Majeed; Deng, Mengqing; Inzlicht, Michael; Anderson, Ashton",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),"Is Your Prompt Detailed Enough?: Exploring the Effects of Prompt Coaching on Users' Perceptions, Engagement, and Trust in Text-to-Image Generative AI Tools","Chen, C.; Lee, S.; Jang, E.; Sundar, S.S.",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),"IslamicLegalBench: Evaluating LLMs knowledge and reasoning of Islamic law across 1,200 years of Islamic pluralist legal traditions","Elmahjub, Ezieddin; Qadir, Junaid; Mushtaq, Abdullah; Naeem, Rafay; Ghaznavi, Ibrahim; Iqbal, Waleed",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),KDD '25: Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,,,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),KDD Workshop on Evaluation and Trustworthiness of Agentic and Generative AI,"Ling, Y.; Dong, S.; Chen, Z.; Feng, Y.; Hasan, S.; Karypis, G.; Reddy, C.K.",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),LLM Platform Security: Applying a Systematic Evaluation Framework to OpenAI's ChatGPT Plugins,"Iqbal, Umar; Kohno, Tadayoshi; Roesner, Franziska","Proceedings of the 2024 AAAI/ACM Conference on AI, Ethics, and Society",Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),LLM Whisperer: An Inconspicuous Attack to Bias LLM Responses,"Lin, Weiran; Gerchanovsky, Anna; Akgul, Omer; Bauer, Lujo; Fredrikson, Matt; Wang, Zifan",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),LLM-Powered Embodied Intelligence for Socially-Aware Robot Navigation in Human-Robot Interaction,"Liu, Xuqing; Farid, Ahmed; Amano, Tatsuya; Rizk, Hamada; Yamaguchi, Hirozumi",Proceedings of the 19th International Symposium on Spatial and Temporal Data,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),"LLMs as high-dimensional nonlinear autoregressive models with attention: Training, alignment and inference","Krishnamurthy, Vikram",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),LLMs in coding and their impact on the commercial software engineering landscape,"Belozerov, Vladislav; Barclay, Peter J; Sami, Askhan",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),LLMs on a Budget: System-Level Approaches to Power-Efficient and Scalable Fine-Tuning,"Gogineni, Kailash; Suvizi, Ali; Venkataramani, Guru",IEEE Open Journal of the Computer Society,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Language-driven opinion dynamics in Agent-Based Simulations with LLMs,"Cau, Erica; Pansanella, Valentina; Pedreschi, Dino; Rossetti, Giulio",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Large Language Model driven Policy Exploration for Recommender Systems,"Wang, Jie; Karatzoglou, Alexandros; Arapakis, Ioannis; Jose, Joemon M.",Proceedings of the Eighteenth ACM International Conference on Web Search and Data Mining,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),"Large Language Models in Programming: A Meta-Analysis of Tools, Users, and Human-Computer Interaction Themes","Olivares, D.M.; Bennington, C.; Skillestad, A.",Applied Human Factors and Ergonomics International,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),"Learn, Explore and Reflect by Chatting: Understanding the Value of an LLM-Based Voting Advice Application Chatbot","Zhu, Jianlong; Kempermann, Manon; Cannanure, Vikram Kamath; Hartland, Alexander; Navarrete, Rosa M.; Carteny, Giuseppe; Braun, Daniela; Weber, Ingmar",Proceedings of the 7th ACM Conference on Conversational User Interfaces,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Learning Contextually-Adaptive Rewards via Calibrated Features,"Forsey-Smerek, Alexandra; Shah, Julie; Bobu, Andreea",Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Legal and Ethical Issues Arising from the Use of Chatbots in Public Administration,"Ioannidou, Eirini; Promikyridis, Rafail; Tambouris, Efthimios",Proceedings of the 28th Pan-Hellenic Conference on Progress in Computing and Informatics,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Leveraging Large Language Model as Support for Human Problem Solving: An Exploration of Its Appropriation and Impact,"Zhu, Qingxiaoyang; Wang, Hao-Chuan",Companion Publication of the 2023 Conference on Computer Supported Cooperative Work and Social Computing,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Linear probe penalties reduce LLM sycophancy,"Papadatos, Henry; Freedman, Rachel",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Listening to the Voices: Describing Ethical Caveats of Conversational User Interfaces According to Experts and Frequent Users,"Mildner, Thomas; Cooney, Orla; Meck, Anna-Maria; Bartl, Marion; Savino, Gian-Luca; Doyle, Philip R; Garaialde, Diego; Clark, Leigh; Sloan, John; Wenig, Nina; Malaka, Rainer; Niess, Jasmin",Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Machine bullshit: Characterizing the emergent disregard for truth in large language models,"Liang, Kaiqu; Hu, Haimin; Zhao, Xuandong; Song, Dawn; Griffiths, Thomas L; Fisac, Jaime Fernández",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Making LLMs reliable when it matters most: A five-layer architecture for high-stakes decisions,"Jadad, Alejandro R",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Mapping the Trust Terrain: LLMs in Software Engineering - Insights and Perspectives,"Khati, Dipin; Liu, Yijin; Palacio, David N.; Zhang, Yixuan; Poshyvanyk, Denys",ACM Trans. Softw. Eng. Methodol.,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Measuring Automated Influence: Between Empirical Evidence and Ethical Values,"Susser, D.; Grimaldi, V.",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Measuring sycophancy of Language Models in multi-turn dialogues,"Hong, Jiseung; Byun, Grace; Kim, Seungone; Shu, Kai; Choi, Jinho D",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),MedOmni-45°: A safety-performance benchmark for reasoning-oriented LLMs in medicine,"Ji, Kaiyuan; Guo, Yijin; Zhang, Zicheng; Zhu, Xiangyang; Tian, Yuan; Liu, Ning; Zhai, Guangtao",,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),MeetSumAid: A Mobile Human-AI Collaborative Meeting Summarization System,"Wang, L.; Li, Y.; He, J.; Che, Y.; Wu, K.; Qi, X.; Chen, K.",IEEE Transactions on Mobile Computing,Pending,Pending,Yes,Pending,,Agreed
Pool 2 (Chris & Greg),Mind Your Manners: The Dynamics of Politeness in Human-AI vs. Human-Human Interactions,"Lazebnik, Teddy; Zalmanson, Lior; Mokryn, Osnat",Proc. ACM Hum.-Comput. Interact.,Pending,Pending,Yes,Pending,,Agreed
